news_report_URL,news_report_platform,date_of_publication,author,news_report_headline,wire_service,no_of_subscribers,victim_name,date_of_death,age_of_death,race_of_victim,type_of_location,place_of_death_town,place_of_death_province,sexual_assault,mode_of_death_specific,mode_of_death_general,robbery,suspect_arrested,suspect_convicted,perpetrator_name,perpetrator_relationship_to_victim,multiple_murder,extreme_violence,intimate_femicide,notes
http://drake.com/,Sanchez Group,2018-11-10,Patricia Gibson,Offer responsibility himself hundred challenge reach throughout team.,Inc,21011,Colleen Brock,2022-07-15,88,Black,Urban,Williamsbury,Western Cape,No,Gunshot,Shooting,No,No,Yes,Barbara Anderson,Partner,Yes,Yes,Yes,Property write other wear through partner rest.
https://allen.com/,Rogers-Orozco,2017-10-24,Chris Reyes,Relationship ask imagine my.,Group,49927,Ross Price,2010-07-06,61,Asian,Urban,Port Nicoleshire,Eastern Cape,No,Strangulation,Beating,Yes,No,No,Aaron Bell,Acquaintance,No,Yes,No,Table well industry section national owner.
https://www.calhoun-hooper.net/,Meadows PLC,2023-02-25,Alyssa Day,Term consider employee force.,Group,34463,Philip Gray,2014-05-22,34,White,Urban,Kingland,Northern Cape,No,Poisoning,Other,No,Yes,No,Paul Williams,Partner,No,No,No,Difference attention whatever American all easy.
http://www.lyons-wang.com/,"Lawson, Adkins and Wilson",2013-04-15,Traci Rodriguez,Up office traditional.,Group,19051,Miguel Jones,2009-10-27,13,Indian,Urban,North Heidi,North West,Yes,Poisoning,Shooting,No,Yes,Yes,Michael Trujillo,Unknown,No,Yes,Yes,Site girl into have media game support.
https://graham-simon.com/,Christian-Rivas,2015-12-26,Stephen Sanchez,Now property from management foot maintain great.,LLC,4736,Spencer Haynes,2012-09-24,90,White,Suburban,Angelahaven,Eastern Cape,No,Poisoning,Beating,No,No,Yes,Angela Cortez,Unknown,Yes,Yes,No,New drive live Republican large admit family.
https://chavez.com/,Wilson-Herrera,2010-12-29,Cathy Robinson,Everybody operation set others wonder strategy fast.,LLC,33971,Adrian Ferguson,2010-09-03,32,Coloured,Suburban,Brandonton,Limpopo,Yes,Stabbing,Stabbing,No,No,No,Melissa Martinez,Partner,Yes,Yes,No,Bill activity expect long future whole education.
https://www.wilson.org/,"Gibbs, Perez and Mills",2012-01-29,Jeremy Dalton,Figure perform participant science way debate.,and Sons,33927,Brad Allen,2008-06-04,59,Coloured,Urban,East Aaronmouth,Western Cape,No,Strangulation,Other,No,Yes,No,Julie Johnson,Unknown,Yes,Yes,No,Religious reflect law reach under.
http://www.larson-holloway.com/,Martinez-Barker,2014-07-22,Terri Mason,Just our threat same page ago director.,Ltd,19644,Laura Sampson,2013-04-17,43,Coloured,Rural,Barbaraburgh,North West,Yes,Poisoning,Stabbing,Yes,No,No,Matthew Moon,Family,No,No,No,Young job sport why.
https://www.miller-king.com/,Hancock-Bryan,2014-11-12,Sean Murray,Could gun series.,Ltd,44456,Anthony Adams,2005-01-23,16,Asian,Urban,West Samuel,Northern Cape,Yes,Poisoning,Shooting,Yes,Yes,No,Barbara Dudley,Stranger,Yes,Yes,No,Positive child usually factor.
http://www.hill.com/,"Adams, Smith and Barber",2012-08-01,Lauren Keller,Land machine forward several.,Group,20303,Frank Lopez,2023-10-17,22,Coloured,Suburban,New Patrick,Northern Cape,No,Poisoning,Stabbing,Yes,Yes,Yes,Jennifer Flores,Stranger,No,No,No,Call whole forward. Them key moment lead.
https://schwartz.net/,Finley-Sims,2020-05-08,Katherine Weaver,Attention piece TV young section its better plant.,Inc,34331,Michael Berger,2005-03-24,64,White,Suburban,West Lauraport,KwaZulu-Natal,No,Strangulation,Stabbing,Yes,Yes,Yes,Jeffrey Sanchez,Family,No,Yes,Yes,Not society color bad that people.
http://byrd-moore.info/,Huerta-Evans,2017-10-31,Melissa Bryant,Current his low down occur.,PLC,28798,Michael Johnson,2023-01-06,39,Black,Suburban,Hillshire,KwaZulu-Natal,Yes,Stabbing,Other,Yes,No,No,Paula Beltran,Partner,Yes,No,Yes,Question return process stuff pick.
http://www.buchanan.net/,"Mcintyre, Rivas and Scott",2012-05-17,Karen Drake,Sound life away senior difficult put.,Ltd,47031,Tracy Ballard,2000-07-17,48,Coloured,Urban,Christopherfurt,Mpumalanga,Yes,Stabbing,Shooting,Yes,Yes,Yes,Joshua Gibson,Family,Yes,Yes,Yes,Once state wait board doctor.
http://www.colon.biz/,Taylor Inc,2023-02-01,Johnathan Davis,Career law provide sea watch industry score.,and Sons,1105,Mary Bass,2005-07-29,46,Asian,Urban,Crosbyview,Limpopo,No,Stabbing,Beating,Yes,No,Yes,Jacob Ramos,Friend,No,Yes,No,Talk between rate name within.
http://www.buchanan.com/,"Harris, Gallegos and Spencer",2014-06-22,Robin Hall,Small other everyone worker.,and Sons,7428,Rebecca Rodriguez,2001-05-24,73,Coloured,Urban,East Alexisbury,Western Cape,Yes,Blunt force trauma,Shooting,No,No,Yes,Alexis Baker,Family,Yes,No,No,Score moment second live.
https://maynard.biz/,Parks-Henry,2021-02-15,Angel Miller,Chance call person one Republican herself our far.,PLC,7083,Annette Miles,2001-12-29,37,Coloured,Suburban,South Shannon,KwaZulu-Natal,No,Stabbing,Shooting,No,Yes,Yes,Gerald Chavez,Friend,No,Yes,Yes,Role fine fine effort well rather.
https://www.gomez-ortega.biz/,"Williams, Roberts and Edwards",2020-08-31,Jordan Moore,Difference board suddenly happen several off southern.,PLC,43673,Sabrina Austin,2002-11-17,80,Asian,Urban,New Sarahview,North West,Yes,Blunt force trauma,Beating,No,No,No,Donald Farmer,Friend,Yes,No,Yes,Go consider century price attorney scientist.
https://wood.com/,"Carlson, Ware and Moore",2013-06-04,Amber Miller,Product magazine kind event sense box.,Group,18610,Michael Watkins,2006-08-01,28,Black,Suburban,Brandonfurt,Northern Cape,No,Blunt force trauma,Beating,Yes,Yes,No,Mrs. Christine Dougherty,Friend,Yes,Yes,Yes,Share face build market.
http://williams.com/,"Patterson, Sullivan and Bowman",2021-08-13,Jared Burch,Soon peace story turn.,Inc,17589,Brian Graham,2004-04-29,57,Black,Urban,Warrenfurt,Eastern Cape,Yes,Stabbing,Beating,Yes,Yes,Yes,Nichole Walker,Partner,Yes,No,No,Baby plan most create.
http://www.jones.info/,"Wolf, Cole and Glass",2018-08-23,Madison Weber,Firm key light place someone option goal avoid.,Group,22440,Anthony Decker,2004-06-29,58,White,Rural,Lake Michelleland,Western Cape,Yes,Blunt force trauma,Stabbing,No,No,No,Katie Ford,Partner,No,Yes,Yes,Always remain yard model.
http://grant.com/,Cummings-Douglas,2010-05-26,Shelley Cook,Professional true financial prevent product can remember be.,PLC,25602,Rickey Li,2020-09-10,6,Black,Urban,Lake Ellenhaven,Gauteng,No,Stabbing,Shooting,No,No,No,Jack White,Stranger,Yes,No,No,Game she court yourself choice.
http://anderson.org/,Griffith Inc,2017-03-27,Michael Young,Particular sell six doctor dream whole.,Group,36278,Cheyenne Gregory,2008-12-29,53,Indian,Rural,Murrayport,Northern Cape,Yes,Blunt force trauma,Stabbing,Yes,No,Yes,Kathryn Barnes,Friend,Yes,Yes,No,Stage soon catch economic.
https://hernandez.com/,Wilkerson-Arias,2022-12-16,James Brooks,Yes heart agreement us stuff practice.,and Sons,23466,Dustin Gallegos,2016-05-15,25,Indian,Urban,Port Janice,Eastern Cape,Yes,Poisoning,Shooting,Yes,No,No,Aaron Miller,Partner,Yes,Yes,No,Democratic change vote participant institution.
http://www.carlson-smith.net/,"Allen, Thomas and Patterson",2023-07-13,Cynthia Butler,Model guess well name.,PLC,48114,Jeanette Harrison,2011-11-14,71,White,Suburban,Zavalaview,KwaZulu-Natal,Yes,Blunt force trauma,Stabbing,Yes,Yes,No,Heather Jones,Stranger,No,No,Yes,Run pick sign same forward. Good full poor.
http://www.blackwell.com/,"Sanders, Ochoa and Kennedy",2016-10-02,Matthew Mitchell,Tend forward buy.,LLC,35219,James Gonzales,2015-06-18,97,Coloured,Suburban,Morganburgh,Free State,Yes,Strangulation,Other,Yes,No,No,Jonathan Glass MD,Partner,No,Yes,Yes,Risk bad own state.
https://williams-berg.com/,"Bolton, Hill and Whitney",2014-01-19,Angela Walsh,Message seek civil all support question.,Group,12293,Austin Osborne,2004-07-25,64,Indian,Urban,Michaelshire,Eastern Cape,Yes,Gunshot,Beating,No,No,No,Christian Cole,Stranger,No,No,Yes,Head several off morning huge power.
http://padilla-lewis.org/,Benson-Lutz,2018-11-15,Chad Jones,Together knowledge because radio.,LLC,21568,Michelle Pierce,2021-03-14,73,Indian,Suburban,Patriciaburgh,Limpopo,Yes,Blunt force trauma,Other,Yes,No,No,Tammy Little,Unknown,No,Yes,No,Meeting building cut catch so ago.
https://morrow-jones.com/,"Jones, Owens and Holmes",2014-04-12,Ronald Arnold,Consider whom item treat area buy check clearly.,LLC,15641,Courtney Meza,2019-05-12,51,Indian,Urban,Meghanview,Eastern Cape,No,Stabbing,Other,Yes,No,Yes,Tyler Hill,Unknown,No,Yes,No,Front under American tell ball we side enough.
https://sanchez-aguirre.biz/,Chavez-Barker,2013-05-10,Jason Marshall,Parent fine responsibility safe team wish.,and Sons,20923,Kayla Rodriguez,2015-10-03,14,Indian,Urban,South David,KwaZulu-Natal,Yes,Gunshot,Stabbing,No,Yes,No,Charles Williams,Unknown,Yes,No,No,Ten industry while total spend value.
http://bryant.com/,Campbell PLC,2014-01-01,Martha Ruiz,Account blue care enough hand idea and.,Inc,15111,Chloe Tran,2020-04-16,90,Coloured,Urban,South Williamside,North West,No,Gunshot,Shooting,No,Yes,Yes,William Becker,Acquaintance,Yes,Yes,No,Campaign benefit health would.
https://bryant.com/,"Flores, Long and Jensen",2014-01-01,Linda Romero,Mother remember feel staff happy purpose woman.,PLC,41184,Steven Wiggins,2001-11-07,90,Indian,Rural,New Thomasshire,KwaZulu-Natal,Yes,Stabbing,Stabbing,Yes,No,Yes,Mikayla Silva,Unknown,Yes,No,Yes,Modern return simple herself.
http://harris.info/,"Luna, Thornton and Stone",2013-06-01,Yolanda Mendoza,Finish community treatment garden great sign.,Ltd,1759,Regina Baker,2019-10-11,12,Coloured,Rural,Leebury,Limpopo,No,Gunshot,Shooting,Yes,Yes,No,Edwin David,Stranger,No,Yes,Yes,Side relate real major look.
https://www.williams-moses.com/,Bradshaw-Douglas,2017-10-17,Cindy Clayton,Usually receive case past only.,and Sons,13399,Taylor Perez,2012-08-21,40,Black,Suburban,North Craig,North West,No,Blunt force trauma,Stabbing,No,Yes,No,John Maldonado,Family,Yes,No,Yes,Accept nearly upon imagine.
http://www.butler.com/,French-Lopez,2019-12-02,Shelia Roberts,Across nothing blue.,LLC,4964,William Daniels,2021-08-18,88,White,Urban,Smallberg,Western Cape,Yes,Strangulation,Shooting,Yes,No,No,Julie Lee,Friend,Yes,No,Yes,Former room possible responsibility.
http://www.chase.net/,Miller-Caldwell,2015-07-02,Charles Morris,According himself land environment form.,PLC,15938,Alexandra Valdez,2008-01-10,82,Black,Urban,North Elizabeth,Western Cape,No,Strangulation,Beating,Yes,Yes,Yes,Christopher Parks,Friend,Yes,Yes,Yes,Real police wait happen determine.
https://www.becker.com/,"Griffin, Padilla and Miller",2012-03-30,Amy Kelley,Dark Mr clearly take kind quite response.,Group,5944,Jordan Stokes,2018-09-04,94,Black,Rural,Andersonchester,Eastern Cape,Yes,Gunshot,Shooting,No,No,No,Anthony Ford,Friend,Yes,No,No,Rich how staff second official.
http://www.johnson-ortiz.com/,"Good, Brewer and Fisher",2016-02-06,Janet Kane DVM,Bag who themselves card team budget.,PLC,20156,Cameron Irwin,2015-01-27,91,Coloured,Urban,Port Andrewport,Limpopo,No,Stabbing,Beating,No,Yes,No,Nathan Coleman,Acquaintance,No,Yes,Yes,Statement easy get every visit right.
http://www.jones.com/,Harper-Warner,2023-04-09,Patrick Morales,Music senior simply cell year.,and Sons,36027,Monique Flores,2017-07-10,79,Indian,Rural,Joelberg,North West,Yes,Strangulation,Other,No,No,Yes,Ms. Jennifer Hill,Acquaintance,No,Yes,Yes,We they treatment personal interview many win.
https://www.turner.com/,Melendez-Hart,2019-01-05,Kristin Anderson,Effort form bad last he.,PLC,44943,Cheryl Adams,2000-01-03,98,Black,Rural,Port Charlesshire,North West,No,Blunt force trauma,Stabbing,No,Yes,No,Kristin Mendoza,Friend,Yes,No,No,Field training deep couple scientist section.
https://green-hunt.info/,Garcia-Zavala,2021-06-27,Ryan Rocha,Fine animal ten scientist administration network.,PLC,39521,Jennifer Hernandez,2005-05-18,70,Indian,Urban,Jerryshire,Eastern Cape,Yes,Strangulation,Beating,No,Yes,No,Kathryn Pena,Partner,Yes,Yes,No,Either start whom politics make collection.
http://www.landry.com/,Gutierrez Ltd,2014-06-25,Michael Smith,Lay art point value tree process administration.,PLC,8114,Alexandra Moreno,2023-12-04,92,Asian,Rural,Amandaport,Mpumalanga,No,Blunt force trauma,Shooting,No,No,Yes,Robert Craig,Stranger,No,Yes,Yes,Blood benefit chance court.
http://clayton.com/,Sullivan Group,2021-08-17,Amy Smith,Bar suddenly population former.,Inc,48969,Tamara Hall,2007-05-24,46,Black,Rural,Nelsonland,Limpopo,Yes,Strangulation,Other,Yes,Yes,Yes,Diana Daniels,Family,No,Yes,No,Conference sure administration.
http://www.davenport.com/,Campos-Taylor,2011-11-30,Misty Mason DVM,Best discussion away.,PLC,4168,Tina Sanders,2016-10-06,50,Indian,Suburban,Anthonyview,Eastern Cape,No,Strangulation,Stabbing,Yes,Yes,No,Joanne Perez,Stranger,Yes,No,No,Wait it quickly produce beat peace something.
https://rodriguez-smith.com/,Ward-Nelson,2022-04-05,Cody Cole,Mention billion bed never others six tell.,Inc,8313,James Miller,2001-05-25,18,Indian,Rural,New Adriana,Free State,Yes,Gunshot,Other,No,No,No,Caroline Adams,Friend,No,Yes,No,Manage as itself inside machine.
http://taylor.biz/,Skinner-James,2012-03-31,Jessica Jordan,Carry fly water cut fire who why fact.,Ltd,21388,Tracy Casey,2006-06-01,26,White,Urban,Nicholasfurt,Limpopo,Yes,Strangulation,Beating,No,No,Yes,Timothy Gonzalez,Acquaintance,Yes,Yes,No,Standard somebody important material.
https://hunter.net/,Gibbs LLC,2012-10-26,Robin Wheeler,Body eat professor coach.,PLC,36495,William Byrd,2022-02-01,89,Black,Suburban,Rasmussenmouth,North West,Yes,Poisoning,Shooting,Yes,Yes,No,Jessica Smith,Family,No,Yes,Yes,Develop section newspaper reach determine.
http://knapp-miller.com/,Collins-Gibson,2016-03-01,John Alvarez,Reveal laugh attack and represent against.,LLC,39049,Megan Martin,2006-05-19,40,White,Suburban,New Greg,North West,Yes,Strangulation,Stabbing,No,Yes,No,Justin Mullen,Stranger,No,Yes,No,Something picture control price how.
http://www.nguyen-ellis.com/,"Huffman, Rose and Fowler",2015-12-03,Lisa Matthews,Goal leader common purpose song try.,PLC,45871,Cesar Wilson,2020-04-19,99,Coloured,Urban,Darylstad,Eastern Cape,No,Poisoning,Stabbing,No,Yes,No,Kayla Barnes,Family,No,No,Yes,Offer institution main Mr.
https://www.crane-washington.com/,Maynard-Wagner,2014-12-25,Michael Perry PhD,Cold not somebody determine allow different eye.,Group,42028,Patricia Simpson,2005-02-09,77,Coloured,Rural,New Dannyside,Eastern Cape,Yes,Gunshot,Beating,Yes,Yes,Yes,Holly Carson,Acquaintance,Yes,No,Yes,Service kid despite.
https://www.grimes-wilson.com/,Cochran PLC,2019-09-03,Shannon Bishop,Coach cause deal deal arrive go.,LLC,48939,Caroline Werner,2014-03-03,66,White,Urban,Keithview,Limpopo,No,Stabbing,Shooting,Yes,No,Yes,Kayla Mccullough,Partner,No,Yes,Yes,Career seek in arrive.
http://thomas-chen.biz/,Hayes-Schultz,2013-11-26,Anna Robertson,Reason theory lawyer maintain old.,Ltd,40922,William Reid,2012-10-01,63,Black,Rural,Melissaside,Western Cape,Yes,Blunt force trauma,Other,Yes,Yes,Yes,Walter Summers,Family,Yes,No,No,Animal phone student. Buy tax kid. Yeah into yet.
http://miller-beck.com/,Sanders LLC,2019-04-06,Nicole Patterson,Region ability live car.,and Sons,18265,Jill Smith,2020-05-24,5,Asian,Rural,Lisachester,Gauteng,No,Strangulation,Stabbing,No,Yes,No,Karen Perez,Acquaintance,No,No,No,Room bill finish thing.
http://www.elliott.com/,"Lewis, Goodman and Gillespie",2017-11-21,Jessica Robinson,Cause but role goal.,Group,11882,Charles Hill,2012-04-10,13,Asian,Urban,East Angelaport,Limpopo,No,Gunshot,Stabbing,Yes,Yes,Yes,Melissa Abbott,Acquaintance,No,Yes,Yes,Day parent country hot position.
http://anderson-valencia.org/,Diaz-Vega,2022-07-06,Tiffany Townsend,Onto add democratic.,Inc,36791,Jennifer Mitchell,2011-05-04,36,Coloured,Rural,Hendersonfurt,Eastern Cape,No,Strangulation,Stabbing,No,No,Yes,Joshua Jensen,Unknown,No,No,Yes,Base bad TV window choice.
http://www.miller.com/,Salazar-Brown,2012-08-14,Mary Thompson,Remain reduce clearly.,LLC,17288,Rachel Le,2012-03-27,36,White,Urban,West David,Eastern Cape,No,Strangulation,Other,No,Yes,Yes,Debra Tanner,Acquaintance,No,Yes,Yes,Friend investment model.
https://www.moore-ayala.org/,"Sharp, Perez and Hicks",2022-07-02,Scott Sanchez,Hair turn condition whether along sort research.,Ltd,19333,Frank Butler,2008-10-22,69,White,Rural,Josephland,Gauteng,No,Strangulation,Stabbing,No,Yes,Yes,Barbara Nunez,Friend,No,No,Yes,Conference source wonder.
http://carter.org/,Marshall PLC,2022-06-21,Yolanda Parsons,Set early according improve do get style.,Inc,27759,April Sandoval,2010-07-24,49,Asian,Rural,Daltonhaven,North West,No,Strangulation,Stabbing,No,Yes,Yes,Mrs. Tonya Kaufman,Unknown,No,Yes,No,Republican behavior TV today.
https://www.bradley.com/,Green-Edwards,2016-06-18,Mercedes Moss,Laugh do want carry show board.,Inc,42307,John Russell,2002-06-22,18,Asian,Urban,Tamiborough,Gauteng,No,Stabbing,Shooting,Yes,Yes,Yes,John Phelps,Acquaintance,No,Yes,No,Citizen rather step recent. Democrat task chance.
http://www.bond-hawkins.net/,Davis Inc,2014-07-13,Brenda Smith,Candidate statement head piece popular.,PLC,11234,Sylvia Jones,2018-10-22,36,Coloured,Suburban,East Rachelmouth,Eastern Cape,No,Gunshot,Beating,Yes,No,Yes,Anna Boone,Unknown,Yes,No,Yes,Business walk anything under item right.
http://www.phillips.com/,Ramirez and Sons,2012-12-26,Marvin Robles,Piece soon some writer site.,LLC,37801,Richard Cooper,2006-03-04,14,Coloured,Urban,Paulburgh,Western Cape,No,Stabbing,Beating,No,Yes,No,Kyle Johnson,Partner,Yes,Yes,Yes,Around yard morning short yourself.
http://www.bradford.com/,Young LLC,2020-09-14,Melissa Sloan,Region goal nothing.,and Sons,45557,Chelsea Travis,2002-11-09,26,Black,Suburban,Weaverburgh,Free State,Yes,Poisoning,Other,Yes,Yes,No,Brandon Hall II,Friend,Yes,No,Yes,Long forward pass southern future concern sort.
https://www.bush-bates.org/,Rogers LLC,2023-09-01,Christopher Fry,Power company why really up skin development.,PLC,44709,Jamie Gross,2008-12-17,60,Coloured,Rural,Davidtown,Gauteng,No,Stabbing,Beating,No,No,No,Tiffany Myers,Acquaintance,Yes,No,Yes,Allow own TV whose determine not view.
http://smith-clark.com/,Scott-Rodriguez,2016-02-14,James Oconnor,This manage her national.,Inc,45984,Rachel Lane,2013-10-29,17,Asian,Suburban,East Shannon,KwaZulu-Natal,Yes,Stabbing,Stabbing,Yes,No,No,Amanda Smith,Partner,Yes,No,Yes,Weight avoid color heart rule.
http://brown.com/,Ortiz PLC,2015-05-07,Monica Baker,Father benefit hotel near make.,Inc,14057,Jeffrey Phillips,2005-09-02,35,Black,Urban,Gonzaleztown,Eastern Cape,Yes,Stabbing,Stabbing,Yes,Yes,Yes,Mark Rowland,Unknown,No,Yes,No,Such final however major produce before name.
https://perez-adams.com/,Goodwin Ltd,2017-01-04,Michael Morton,Wife operation network subject stand industry.,PLC,14144,Taylor Armstrong,2019-08-13,24,Coloured,Suburban,South Kent,Northern Cape,No,Blunt force trauma,Other,Yes,No,No,Scott Johnson,Friend,No,No,No,Too song quality per build serious common.
https://www.hernandez.com/,Hughes Group,2023-10-27,Shannon Stone,Skill performance mission.,Group,45084,Chase Knight,2006-12-09,69,Black,Urban,North Annaville,Western Cape,No,Gunshot,Shooting,No,No,Yes,Sharon Beard,Friend,Yes,No,Yes,Enough pressure occur list common idea.
https://www.roth-turner.com/,Garrison-Cohen,2018-06-15,Crystal Turner,Similar fly rock painting become kid.,Group,38655,Olivia Camacho,2023-01-05,50,Coloured,Rural,New Laceyland,Eastern Cape,Yes,Strangulation,Other,No,Yes,No,Jonathon Taylor,Acquaintance,Yes,No,Yes,These ahead cover strategy student economic lead.
http://www.burns-griffin.info/,"Arnold, Cooper and Monroe",2021-03-30,Ronald Davis,Hit clear occur.,and Sons,41601,Maria Byrd,2004-04-25,79,White,Urban,Denisehaven,Eastern Cape,No,Blunt force trauma,Other,Yes,No,No,Richard Saunders,Partner,Yes,No,Yes,Listen car community. Difference part wall.
https://www.hunt.com/,"Holland, Lynch and Evans",2018-10-24,Arthur Mcneil,Technology end represent throughout federal change.,and Sons,14233,Renee Lang,2013-01-31,76,Coloured,Urban,Guerreroberg,Mpumalanga,Yes,Gunshot,Shooting,No,No,No,Mary Bright,Family,Yes,Yes,No,Trade identify say on yes.
https://pittman.com/,Davis-Anderson,2021-11-04,Robert Hines,Water tonight pressure develop.,and Sons,8708,Elizabeth French,2019-05-10,35,White,Rural,Nathanshire,KwaZulu-Natal,Yes,Gunshot,Stabbing,No,Yes,Yes,Samuel Ruiz,Family,No,No,No,Case customer important notice.
http://www.hill-juarez.com/,"Duran, Burns and Gallagher",2014-07-28,Lucas Schultz,Investment local above move room wear.,LLC,37986,Kiara Smith,2019-08-06,71,Coloured,Rural,Lake Jessicabury,KwaZulu-Natal,No,Poisoning,Other,No,Yes,No,Haley Anderson,Partner,Yes,No,No,Me fill assume animal way lay.
http://www.smith-walker.com/,Gross PLC,2015-03-11,Barbara Dawson,Heart policy side.,PLC,19141,Zachary Stanley,2011-03-03,17,Asian,Suburban,North Hannahchester,North West,Yes,Blunt force trauma,Beating,Yes,Yes,No,Caleb King,Friend,No,No,No,Day rate act inside.
http://www.wilson-rodriguez.com/,"Gonzalez, Baker and Mills",2016-11-05,Michael Phillips,Nature travel read.,Group,33237,Aaron Powers,2018-02-16,83,Asian,Rural,Port Audreyfort,Free State,No,Strangulation,Stabbing,No,No,No,Brandon Hunt,Family,No,No,Yes,Toward popular lead with.
https://wilson.com/,Alvarado and Sons,2014-08-22,Steven Friedman,There behavior spring consumer husband.,Group,16074,James Jefferson,2015-12-13,77,Black,Rural,Banksburgh,North West,Yes,Strangulation,Stabbing,No,No,No,Michael Brown,Stranger,Yes,No,No,Billion treat lot notice.
http://rodriguez-jenkins.com/,Green LLC,2020-08-24,Sean Warren,Rich difference what their mind read peace.,Group,4715,Danielle Reed,2010-10-03,69,Black,Urban,Hernandezside,Limpopo,No,Gunshot,Beating,Yes,Yes,Yes,Lisa Smith,Unknown,Yes,No,No,Measure light many close.
http://solis-west.info/,Stewart-Hooper,2014-04-13,Alicia Powell,News a before.,PLC,3814,Marcia Wu,2020-01-26,43,White,Urban,Lake Emily,Northern Cape,Yes,Poisoning,Beating,No,Yes,No,Heidi Brown,Friend,No,No,Yes,Such forward should outside respond.
https://rodriguez.biz/,King and Sons,2012-11-16,Timothy Long,Station course full serious another plan public.,Inc,6260,Joanna Barrett,2024-01-01,8,Coloured,Urban,South Adam,Free State,Yes,Blunt force trauma,Shooting,Yes,No,Yes,Kristen Reynolds,Partner,Yes,No,No,Lot meet TV concern official room campaign hold.
https://ballard-taylor.org/,"Tanner, Hunt and Cameron",2023-07-24,Emily Doyle,Plan cut person fact generation public wonder.,Ltd,40353,Cassandra Daniels,2002-06-17,69,White,Urban,Jenniferstad,Northern Cape,Yes,Blunt force trauma,Shooting,Yes,No,Yes,Lauren Bender,Stranger,Yes,Yes,No,Purpose throw move there institution actually.
http://king.com/,Molina Inc,2012-05-16,Jesse Jensen,Ten score night down six sometimes explain.,Ltd,1197,James Butler,2018-06-05,68,Indian,Urban,Tammyton,Free State,Yes,Poisoning,Stabbing,Yes,No,No,David Oliver,Partner,Yes,No,No,Stop treatment relate positive sense national.
